partition,strategy,spread_label,spread,exit_threshold,min_entry,max_entry,e_star,n_trades,proj_60d,total_pnl,sharpe,win_rate,exit_rate,max_dd,mean_pnl_per_trade
IS,hybrid_maker,optimistic,0.04,0.12,0.15,0.55,0.02,166,199.2,22.999999999999996,4.989174743859429,0.7108433734939759,0.6987951807228916,-4.749999999999999,0.13855421686746983
IS,hybrid_maker,optimistic,0.04,0.12,0.15,0.55,0.037,158,189.60000000000002,23.174999999999994,4.976539308471326,0.7151898734177216,0.7025316455696202,-4.749999999999999,0.1466772151898734
IS,hybrid_maker,optimistic,0.04,0.12,0.15,0.55,0.05,153,183.6,21.7,4.593004487596049,0.7124183006535948,0.6993464052287581,-4.75,0.14183006535947712
IS,hybrid_maker,optimistic,0.04,0.12,0.15,0.65,0.02,167,200.39999999999998,20.124999999999996,4.123099558309739,0.7065868263473054,0.6946107784431138,-4.749999999999999,0.1205089820359281
IS,hybrid_maker,optimistic,0.04,0.12,0.15,0.65,0.037,160,192.0,17.474999999999998,3.3830097721784074,0.70625,0.69375,-4.749999999999999,0.10921875
IS,hybrid_maker,optimistic,0.04,0.12,0.15,0.65,0.05,155,186.0,16.0,3.0650520831669943,0.7032258064516129,0.6903225806451613,-4.75,0.1032258064516129
IS,hybrid_maker,optimistic,0.04,0.12,0.25,0.55,0.02,105,126.0,26.974999999999994,6.24001600326437,0.819047619047619,0.7904761904761904,-3.25,0.2569047619047619
IS,hybrid_maker,optimistic,0.04,0.12,0.25,0.55,0.037,94,112.8,29.575000000000003,7.066364367992095,0.8404255319148937,0.8085106382978723,-3.25,0.3146276595744681
IS,hybrid_maker,optimistic,0.04,0.12,0.25,0.55,0.05,93,111.60000000000001,28.975,6.938154902175734,0.8387096774193549,0.8064516129032258,-3.25,0.3115591397849463
IS,hybrid_maker,optimistic,0.04,0.12,0.25,0.65,0.02,109,130.8,25.899999999999995,5.599702539235087,0.8165137614678899,0.7889908256880734,-3.25,0.2376146788990826
IS,hybrid_maker,optimistic,0.04,0.12,0.25,0.65,0.037,100,120.0,26.275,5.597742973098159,0.83,0.8,-3.25,0.26275000000000004
IS,hybrid_maker,optimistic,0.04,0.12,0.25,0.65,0.05,98,117.6,25.075,5.365004275052452,0.826530612244898,0.7959183673469388,-3.25,0.25586734693877555
IS,hybrid_maker,optimistic,0.04,0.12,0.35,0.55,0.02,66,79.2,17.525,4.859245271563258,0.8484848484848485,0.8181818181818182,-3.0999999999999996,0.2655303030303031
IS,hybrid_maker,optimistic,0.04,0.12,0.35,0.55,0.037,59,70.8,18.75,5.5594144031730055,0.864406779661017,0.8305084745762712,-3.0999999999999996,0.3177966101694915
IS,hybrid_maker,optimistic,0.04,0.12,0.35,0.55,0.05,58,69.6,18.150000000000002,5.37755196778932,0.8620689655172413,0.8275862068965517,-3.0999999999999996,0.31293103448275866
IS,hybrid_maker,optimistic,0.04,0.12,0.35,0.65,0.02,73,87.6,18.25,4.642980836119265,0.8493150684931506,0.821917808219178,-3.0999999999999996,0.25000000000000006
IS,hybrid_maker,optimistic,0.04,0.12,0.35,0.65,0.037,66,79.2,16.050000000000004,4.1221744762531465,0.8484848484848485,0.8181818181818182,-3.0999999999999996,0.2431818181818182
IS,hybrid_maker,optimistic,0.04,0.12,0.35,0.65,0.05,64,76.8,14.850000000000001,3.850619695959784,0.84375,0.8125,-3.0999999999999996,0.23203125000000002
IS,hybrid_maker,optimistic,0.04,0.15,0.15,0.55,0.02,166,199.2,25.650000000000002,4.954874999756292,0.6566265060240963,0.6385542168674698,-5.625,0.15451807228915662
IS,hybrid_maker,optimistic,0.04,0.15,0.15,0.55,0.037,158,189.60000000000002,26.974999999999998,5.17592731343317,0.6645569620253164,0.6455696202531646,-5.625,0.17072784810126584
IS,hybrid_maker,optimistic,0.04,0.15,0.15,0.55,0.05,153,183.6,26.525000000000002,5.127290315901679,0.6666666666666666,0.6470588235294118,-5.624999999999999,0.17336601307189542
IS,hybrid_maker,optimistic,0.04,0.15,0.15,0.65,0.02,167,200.39999999999998,22.775000000000002,4.201693654887277,0.6526946107784432,0.6347305389221557,-5.7749999999999995,0.13637724550898203
IS,hybrid_maker,optimistic,0.04,0.15,0.15,0.65,0.037,160,192.0,21.275000000000002,3.754501572545177,0.65625,0.6375,-6.5249999999999995,0.13296875
IS,hybrid_maker,optimistic,0.04,0.15,0.15,0.65,0.05,155,186.0,20.825000000000003,3.6992924660630666,0.6580645161290323,0.6387096774193548,-6.5249999999999995,0.13435483870967743
IS,hybrid_maker,optimistic,0.04,0.15,0.25,0.55,0.02,105,126.0,31.499999999999996,6.681968841183525,0.780952380952381,0.7428571428571429,-4.85,0.3
IS,hybrid_maker,optimistic,0.04,0.15,0.25,0.55,0.037,94,112.8,34.95,7.513417531290639,0.8085106382978723,0.7659574468085106,-4.85,0.37180851063829784
IS,hybrid_maker,optimistic,0.04,0.15,0.25,0.55,0.05,93,111.60000000000001,34.2,7.374654108251571,0.8064516129032258,0.7634408602150538,-4.85,0.3677419354838709
IS,hybrid_maker,optimistic,0.04,0.15,0.25,0.65,0.02,109,130.8,30.874999999999996,6.255781750522571,0.7798165137614679,0.7431192660550459,-4.85,0.28325688073394495
IS,hybrid_maker,optimistic,0.04,0.15,0.25,0.65,0.037,100,120.0,32.25,6.364372485782734,0.8,0.76,-4.85,0.3225
IS,hybrid_maker,optimistic,0.04,0.15,0.25,0.65,0.05,98,117.6,30.750000000000004,5.993159277396435,0.7959183673469388,0.7551020408163265,-4.85,0.3137755102040816
IS,hybrid_maker,optimistic,0.04,0.15,0.35,0.55,0.02,66,79.2,20.925,4.413780593778082,0.803030303030303,0.7424242424242424,-4.5249999999999995,0.31704545454545463
IS,hybrid_maker,optimistic,0.04,0.15,0.35,0.55,0.037,59,70.8,21.4,5.097042818749414,0.8135593220338984,0.7457627118644068,-2.8249999999999993,0.3627118644067797
IS,hybrid_maker,optimistic,0.04,0.15,0.35,0.55,0.05,58,69.6,20.65,4.916481527940083,0.8103448275862069,0.7413793103448276,-2.8249999999999993,0.3560344827586207
IS,hybrid_maker,optimistic,0.04,0.15,0.35,0.65,0.02,73,87.6,19.0,3.701293838415429,0.7945205479452054,0.7397260273972602,-4.5249999999999995,0.2602739726027397
IS,hybrid_maker,optimistic,0.04,0.15,0.35,0.65,0.037,66,79.2,19.450000000000003,4.2765258685578145,0.803030303030303,0.7424242424242424,-2.875,0.29469696969696973
IS,hybrid_maker,optimistic,0.04,0.15,0.35,0.65,0.05,64,76.8,17.950000000000003,3.9005185676478775,0.796875,0.734375,-2.875,0.28046875000000004
IS,hybrid_maker,optimistic,0.04,0.18,0.15,0.55,0.02,166,199.2,21.69999999999999,3.7961356558604367,0.6024096385542169,0.5843373493975904,-6.099999999999998,0.13072289156626504
IS,hybrid_maker,optimistic,0.04,0.18,0.15,0.55,0.037,158,189.60000000000002,24.72499999999999,4.250151875606926,0.6139240506329114,0.5949367088607594,-5.674999999999997,0.15648734177215187
IS,hybrid_maker,optimistic,0.04,0.18,0.15,0.55,0.05,153,183.6,23.824999999999992,4.179617447394822,0.6143790849673203,0.5947712418300654,-5.474999999999998,0.155718954248366
IS,hybrid_maker,optimistic,0.04,0.18,0.15,0.65,0.02,167,200.39999999999998,14.949999999999989,2.5464617833741476,0.592814371257485,0.5748502994011976,-6.100000000000003,0.08952095808383231
IS,hybrid_maker,optimistic,0.04,0.18,0.15,0.65,0.037,160,192.0,15.149999999999988,2.46342842737721,0.6,0.58125,-6.575000000000002,0.09468749999999995
IS,hybrid_maker,optimistic,0.04,0.18,0.15,0.65,0.05,155,186.0,14.24999999999999,2.361820115114154,0.6,0.5806451612903226,-6.575000000000002,0.09193548387096773
IS,hybrid_maker,optimistic,0.04,0.18,0.25,0.55,0.02,105,126.0,28.724999999999994,5.39725223681902,0.7238095238095238,0.6857142857142857,-4.549999999999999,0.2735714285714286
IS,hybrid_maker,optimistic,0.04,0.18,0.25,0.55,0.037,94,112.8,33.574999999999996,6.6763847347031104,0.7553191489361702,0.7127659574468085,-4.549999999999999,0.35718085106382974
IS,hybrid_maker,optimistic,0.04,0.18,0.25,0.55,0.05,93,111.60000000000001,32.675,6.529845727387468,0.7526881720430108,0.7096774193548387,-4.549999999999999,0.35134408602150535
IS,hybrid_maker,optimistic,0.04,0.18,0.25,0.65,0.02,109,130.8,24.674999999999997,4.445561650406544,0.7155963302752294,0.6788990825688074,-5.625,0.2263761467889908
IS,hybrid_maker,optimistic,0.04,0.18,0.25,0.65,0.037,100,120.0,27.599999999999998,5.057361128403731,0.74,0.7,-4.549999999999999,0.27599999999999997
IS,hybrid_maker,optimistic,0.04,0.18,0.25,0.65,0.05,98,117.6,25.799999999999994,4.680716712515834,0.7346938775510204,0.6938775510204082,-4.549999999999999,0.26326530612244897
IS,hybrid_maker,optimistic,0.04,0.18,0.35,0.55,0.02,66,79.2,25.35,5.281171524956154,0.7878787878787878,0.7272727272727273,-4.074999999999999,0.38409090909090904
IS,hybrid_maker,optimistic,0.04,0.18,0.35,0.55,0.037,59,70.8,25.075,5.965472054145883,0.7966101694915254,0.7288135593220338,-2.5249999999999986,0.42499999999999993
IS,hybrid_maker,optimistic,0.04,0.18,0.35,0.55,0.05,58,69.6,24.175,5.748838175929083,0.7931034482758621,0.7241379310344828,-2.5249999999999986,0.41681034482758617
IS,hybrid_maker,optimistic,0.04,0.18,0.35,0.65,0.02,73,87.6,20.300000000000004,3.739226431865409,0.7671232876712328,0.7123287671232876,-4.074999999999999,0.2780821917808219
IS,hybrid_maker,optimistic,0.04,0.18,0.35,0.65,0.037,66,79.2,20.0,4.161922586285561,0.7727272727272727,0.7121212121212122,-3.924999999999997,0.30303030303030304
IS,hybrid_maker,optimistic,0.04,0.18,0.35,0.65,0.05,64,76.8,18.199999999999996,3.7479571236912514,0.765625,0.703125,-3.924999999999997,0.284375
IS,hybrid_maker,optimistic,0.04,0.2,0.15,0.55,0.02,166,199.2,30.9,4.326342944942952,0.572289156626506,0.5301204819277109,-8.625000000000007,0.186144578313253
IS,hybrid_maker,optimistic,0.04,0.2,0.15,0.55,0.037,158,189.60000000000002,38.62500000000001,5.423229597767599,0.5949367088607594,0.5506329113924051,-7.450000000000003,0.2444620253164557
IS,hybrid_maker,optimistic,0.04,0.2,0.15,0.55,0.05,153,183.6,34.47500000000001,5.1495806221911575,0.5947712418300654,0.5555555555555556,-7.449999999999999,0.2253267973856209
IS,hybrid_maker,optimistic,0.04,0.2,0.15,0.65,0.02,167,200.39999999999998,24.049999999999997,3.3072626710334334,0.562874251497006,0.5209580838323353,-8.625,0.1440119760479042
IS,hybrid_maker,optimistic,0.04,0.2,0.15,0.65,0.037,160,192.0,28.950000000000003,3.8949207058687345,0.58125,0.5375,-7.450000000000003,0.18093750000000003
IS,hybrid_maker,optimistic,0.04,0.2,0.15,0.65,0.05,155,186.0,24.800000000000004,3.542310881709973,0.5806451612903226,0.5419354838709678,-7.449999999999999,0.15999999999999998
IS,hybrid_maker,optimistic,0.04,0.2,0.25,0.55,0.02,105,126.0,30.875000000000004,4.813782291505866,0.6857142857142857,0.6285714285714286,-5.425000000000001,0.29404761904761906
IS,hybrid_maker,optimistic,0.04,0.2,0.25,0.55,0.037,94,112.8,40.22500000000001,6.716673776853825,0.7340425531914894,0.6702127659574468,-5.424999999999997,0.42792553191489363
IS,hybrid_maker,optimistic,0.04,0.2,0.25,0.55,0.05,93,111.60000000000001,36.92500000000001,6.393432801936093,0.7311827956989247,0.6774193548387096,-5.424999999999997,0.39704301075268805
IS,hybrid_maker,optimistic,0.04,0.2,0.25,0.65,0.02,109,130.8,27.025000000000006,4.09649845552388,0.6788990825688074,0.6238532110091743,-6.449999999999999,0.24793577981651382
IS,hybrid_maker,optimistic,0.04,0.2,0.25,0.65,0.037,100,120.0,34.550000000000004,5.488375692979292,0.72,0.66,-4.424999999999997,0.3455
IS,hybrid_maker,optimistic,0.04,0.2,0.25,0.65,0.05,98,117.6,30.250000000000007,4.908811294871419,0.7142857142857143,0.6632653061224489,-5.425000000000001,0.3086734693877551
IS,hybrid_maker,optimistic,0.04,0.2,0.35,0.55,0.02,66,79.2,27.050000000000004,4.926884298489881,0.7575757575757576,0.6818181818181818,-4.074999999999999,0.4098484848484849
IS,hybrid_maker,optimistic,0.04,0.2,0.35,0.55,0.037,59,70.8,29.000000000000004,6.121301400039027,0.7796610169491526,0.6949152542372882,-4.050000000000001,0.4915254237288136
IS,hybrid_maker,optimistic,0.04,0.2,0.35,0.55,0.05,58,69.6,25.700000000000003,5.741068788961963,0.7758620689655172,0.7068965517241379,-4.050000000000001,0.4431034482758621
IS,hybrid_maker,optimistic,0.04,0.2,0.35,0.65,0.02,73,87.6,22.400000000000006,3.693282642181735,0.7397260273972602,0.6712328767123288,-5.350000000000001,0.3068493150684932
IS,hybrid_maker,optimistic,0.04,0.2,0.35,0.65,0.037,66,79.2,24.325000000000003,4.592965168818676,0.7575757575757576,0.6818181818181818,-3.825000000000003,0.3685606060606061
IS,hybrid_maker,optimistic,0.04,0.2,0.35,0.65,0.05,64,76.8,20.025,3.9242448420596263,0.75,0.6875,-4.050000000000001,0.3128906250000001
IS,hybrid_maker,optimistic,0.04,0.22,0.15,0.55,0.02,166,199.2,32.75000000000001,4.839847891078041,0.5481927710843374,0.5,-6.75,0.19728915662650612
IS,hybrid_maker,optimistic,0.04,0.22,0.15,0.55,0.037,158,189.60000000000002,38.25000000000001,5.538376446161445,0.569620253164557,0.5253164556962026,-7.3500000000000085,0.24208860759493672
IS,hybrid_maker,optimistic,0.04,0.22,0.15,0.55,0.05,153,183.6,33.900000000000006,5.267342853530537,0.5686274509803921,0.5294117647058824,-7.350000000000005,0.22156862745098038
IS,hybrid_maker,optimistic,0.04,0.22,0.15,0.65,0.02,167,200.39999999999998,25.800000000000004,3.7504661900612923,0.5389221556886228,0.49101796407185627,-6.749999999999993,0.15449101796407191
IS,hybrid_maker,optimistic,0.04,0.22,0.15,0.65,0.037,160,192.0,28.475000000000005,3.9624922347759024,0.55625,0.5125,-7.350000000000001,0.17796875
IS,hybrid_maker,optimistic,0.04,0.22,0.15,0.65,0.05,155,186.0,24.125000000000007,3.5955839374037666,0.5548387096774193,0.5161290322580645,-7.349999999999998,0.15564516129032258
IS,hybrid_maker,optimistic,0.04,0.22,0.25,0.55,0.02,105,126.0,31.05000000000001,4.46181114471195,0.6571428571428571,0.5904761904761905,-6.699999999999999,0.29571428571428576
IS,hybrid_maker,optimistic,0.04,0.22,0.25,0.55,0.037,94,112.8,37.975,5.820593441495201,0.7021276595744681,0.6382978723404256,-6.699999999999999,0.4039893617021276
IS,hybrid_maker,optimistic,0.04,0.22,0.25,0.55,0.05,93,111.60000000000001,34.675000000000004,5.492086188918765,0.6989247311827957,0.6451612903225806,-6.699999999999999,0.37284946236559136
IS,hybrid_maker,optimistic,0.04,0.22,0.25,0.65,0.02,109,130.8,27.400000000000006,3.849458057542891,0.6513761467889908,0.5871559633027523,-6.699999999999999,0.2513761467889909
IS,hybrid_maker,optimistic,0.04,0.22,0.25,0.65,0.037,100,120.0,32.60000000000001,4.806696626407091,0.69,0.63,-6.699999999999999,0.326
IS,hybrid_maker,optimistic,0.04,0.22,0.25,0.65,0.05,98,117.6,28.200000000000006,4.2407332571059575,0.6836734693877551,0.6326530612244898,-6.699999999999999,0.28775510204081634
IS,hybrid_maker,optimistic,0.04,0.22,0.35,0.55,0.02,66,79.2,29.95000000000001,4.759183355430532,0.7424242424242424,0.6515151515151515,-5.824999999999999,0.45378787878787885
IS,hybrid_maker,optimistic,0.04,0.22,0.35,0.55,0.037,59,70.8,29.375000000000007,5.433932524115504,0.7627118644067796,0.6779661016949152,-5.824999999999999,0.4978813559322034
IS,hybrid_maker,optimistic,0.04,0.22,0.35,0.55,0.05,58,69.6,26.075000000000006,5.038763537904367,0.7586206896551724,0.6896551724137931,-5.824999999999999,0.4495689655172414
IS,hybrid_maker,optimistic,0.04,0.22,0.35,0.65,0.02,73,87.6,25.70000000000001,3.7682062171662434,0.726027397260274,0.6438356164383562,-5.824999999999999,0.352054794520548
IS,hybrid_maker,optimistic,0.04,0.22,0.35,0.65,0.037,66,79.2,25.10000000000001,4.249297231521151,0.7424242424242424,0.6666666666666666,-5.824999999999999,0.3803030303030303
IS,hybrid_maker,optimistic,0.04,0.22,0.35,0.65,0.05,64,76.8,20.70000000000001,3.61188964621832,0.734375,0.671875,-5.824999999999999,0.32343750000000004
IS,hybrid_maker,optimistic,0.04,0.25,0.15,0.55,0.02,166,199.2,33.474999999999994,4.314578657029553,0.5060240963855421,0.4457831325301205,-9.774999999999999,0.20165662650602412
IS,hybrid_maker,optimistic,0.04,0.25,0.15,0.55,0.037,158,189.60000000000002,38.775000000000006,4.939117140740298,0.5253164556962026,0.46835443037974683,-8.050000000000004,0.2454113924050633
IS,hybrid_maker,optimistic,0.04,0.25,0.15,0.55,0.05,153,183.6,34.125,4.645296129872313,0.5228758169934641,0.47058823529411764,-8.049999999999997,0.22303921568627452
IS,hybrid_maker,optimistic,0.04,0.25,0.15,0.65,0.02,167,200.39999999999998,26.375,3.3743957124591226,0.49700598802395207,0.437125748502994,-9.774999999999999,0.15793413173652696
IS,hybrid_maker,optimistic,0.04,0.25,0.15,0.65,0.037,160,192.0,28.85,3.5847341860984625,0.5125,0.45625,-8.049999999999997,0.18031250000000001
IS,hybrid_maker,optimistic,0.04,0.25,0.15,0.65,0.05,155,186.0,24.199999999999996,3.212964774995037,0.5096774193548387,0.45806451612903226,-8.049999999999997,0.15612903225806454
IS,hybrid_maker,optimistic,0.04,0.25,0.25,0.55,0.02,105,126.0,40.2,4.888586129774089,0.638095238095238,0.5428571428571428,-6.549999999999999,0.38285714285714284
IS,hybrid_maker,optimistic,0.04,0.25,0.25,0.55,0.037,94,112.8,49.85,6.513999769414771,0.6914893617021277,0.5957446808510638,-6.549999999999999,0.5303191489361703
IS,hybrid_maker,optimistic,0.04,0.25,0.25,0.55,0.05,93,111.60000000000001,44.175,6.170701595652105,0.6881720430107527,0.6129032258064516,-6.549999999999999,0.47499999999999987
IS,hybrid_maker,optimistic,0.04,0.25,0.25,0.65,0.02,109,130.8,36.85,4.407405838339347,0.6330275229357798,0.5412844036697247,-7.899999999999999,0.33807339449541285
IS,hybrid_maker,optimistic,0.04,0.25,0.25,0.65,0.037,100,120.0,46.00000000000001,5.816083284698616,0.68,0.58,-6.549999999999999,0.46
IS,hybrid_maker,optimistic,0.04,0.25,0.25,0.65,0.05,98,117.6,39.075,5.20542562240441,0.673469387755102,0.5918367346938775,-6.549999999999999,0.39872448979591835
IS,hybrid_maker,optimistic,0.04,0.25,0.35,0.55,0.02,66,79.2,32.775000000000006,4.517820016813628,0.7121212121212122,0.5909090909090909,-5.699999999999999,0.4965909090909091
